countrycode,year,years_since_start,rgdpe_pct_change_1y,rgdpe_pct_change_2y,rgdpe_pct_change_3y,rgdpe_pct_change_5y,rgdpe_pct_change_10y,rgdpe_acceleration,rgdpe_zscore_3y,rgdpe_zscore_5y,rgdpe_zscore_10y,rgdpe_vs_global,rgdpe_percentile,rgdpe_lag1,rgdpe_lag2,emp_pct_change_1y,emp_pct_change_2y,emp_pct_change_3y,emp_pct_change_5y,emp_pct_change_10y,emp_acceleration,emp_zscore_3y,emp_zscore_5y,emp_zscore_10y,emp_vs_global,emp_percentile,emp_lag1,emp_lag2,ck_pct_change_1y,ck_pct_change_2y,ck_pct_change_3y,ck_pct_change_5y,ck_pct_change_10y,ck_acceleration,ck_zscore_3y,ck_zscore_5y,ck_zscore_10y,ck_vs_global,ck_percentile,ck_lag1,ck_lag2,csh_i_pct_change_1y,csh_i_pct_change_2y,csh_i_pct_change_3y,csh_i_pct_change_5y,csh_i_pct_change_10y,csh_i_acceleration,csh_i_zscore_3y,csh_i_zscore_5y,csh_i_zscore_10y,csh_i_vs_global,csh_i_percentile,csh_i_lag1,csh_i_lag2,rtfpna_pct_change_1y,rtfpna_pct_change_2y,rtfpna_pct_change_3y,rtfpna_pct_change_5y,rtfpna_pct_change_10y,rtfpna_acceleration,rtfpna_zscore_3y,rtfpna_zscore_5y,rtfpna_zscore_10y,rtfpna_vs_global,rtfpna_percentile,rtfpna_lag1,rtfpna_lag2,csh_c_pct_change_1y,csh_c_pct_change_2y,csh_c_pct_change_3y,csh_c_pct_change_5y,csh_c_pct_change_10y,csh_c_acceleration,csh_c_zscore_3y,csh_c_zscore_5y,csh_c_zscore_10y,csh_c_vs_global,csh_c_percentile,csh_c_lag1,csh_c_lag2,recession,recession_last_year,recession_next_year
AGO,1992,10,1.1554887901581163,-0.291303406594325,-0.20323380556731777,-0.45962515347170463,-0.4650198061809684,2.0106683266234473,0.3861838554960983,0.6335945533248486,0.6287392858792354,-0.22518492924643035,-0.1656917811400706,-0.3071699886463161,-0.30529377582130973,0.2788052346617826,0.45638852814733677,0.4789577665969673,0.5041376742653932,0.5811069142686414,-0.20733249344768745,0.4075964920439132,0.42260398028722257,0.387382414348947,-0.17124195706379036,0.5778524042411678,-0.19406743647727584,-0.1947410138373794,1.1840011953957137,1.1826727170651905,0.8782527111047688,0.41649183982715765,-0.027260859331500093,0.34512135914410724,0.8365035092689901,1.0145886654972236,1.39471667387434,-0.24334893780142353,0.086621533613034,-0.2951587277369948,-0.2977730321682544,0.18461535582803734,0.7993112222431653,1.224320951741836,0.4808985777524262,-0.01378425603817754,-0.8729718563266413,0.880106128772623,1.2551487626646498,1.6288804855452539,2.5351916904766676,1.7998511714192778,1.987348407448738,-0.6612683986428196,-2.659129212545289,-2.167708813560558,-1.821576710975938,-1.1169419949153725,-0.29428749047767294,-1.4385994709560808,-1.3375204311906446,-1.6519332136262745,-1.4504852651407052,-0.013509756736398641,0.5807058861078691,0.3215101924163789,0.40034444667834135,-4.7360548509446,-4.855717254073716,-4.11280811127087,-2.911377451852171,-2.1978543720835724,-0.6399290168850932,-1.043948146665104,-1.3541897066941477,-1.8777277472941016,-1.1357460454770845,-1.74562199906108,-2.0568604633744534,-1.1693745965099622,0,1,1
AGO,1993,11,-2.1209315346599733,-0.7840562177078497,-1.2848798905754957,-0.8174051489271073,-0.734935007398183,-2.532259457657867,-1.9405655701024707,-2.5268591008464987,-2.4007595547166396,-0.23293051679202742,-0.2928716275402451,-0.3047132874404605,-0.3068951027586633,0.17769644268561902,0.26304850862025236,0.4131205899484507,0.4577284322444205,0.5331544901285266,-0.09339473300087134,0.43224153422946604,0.36249428783292137,0.345592511801589,-0.1715657989961226,0.5778524042411678,-0.1919935260598611,-0.19225903643576067,0.554308758805871,1.0079927540932068,1.0666598843936475,0.6541650228215187,0.049671816379142766,-0.5953219549003815,0.6906458238837406,0.7878155367995255,1.1095306939979444,-0.24664176827718756,0.14868012977458334,-0.28941733288725036,-0.2937065004082636,-0.09567689426348513,0.03814456276673707,1.154785127508504,0.671808485672748,0.008782632097921786,-0.1963094642711355,0.2316227475483213,0.6899848494788721,1.133320048112655,2.312488001782069,1.7761482770905777,3.0531701827463973,1.976915647450002,-6.128618209851961,-5.252882001835075,-4.329530699791838,-3.2369147587000726,-1.7127994022624347,-2.6134367101337195,-1.2977177377105593,-1.5977203786334984,-2.122425073556543,-0.7467257353071245,-1.3020418100728595,-0.030313346736069634,0.3029582455610657,-0.6200605999109294,-3.479511072340951,-4.045442295756185,-3.155355621303925,-2.423988817924509,2.8457228638793435,-0.6599834431629625,-0.8734049451858784,-1.3498602474248833,-1.1852447806666857,-1.74562199906108,-2.846052028653727,-2.0654977688781875,1,0,0
AGO,1994,12,0.6210322797325474,-1.077811340577482,-0.3305760791257418,-0.6998702901339175,-0.758292495858508,2.1217102624339828,-0.7713694571764023,-0.8151785308045942,-0.6756525914242741,-0.238607087843113,-0.21656371970014024,-0.30748165307825476,-0.30434447058408964,0.48323428060843865,0.38369010978709156,0.4038873140237729,0.500843518653199,0.5380954936601353,0.2786652723353936,0.5269144225521782,0.4689086570681455,0.40736862664735507,-0.17157250542085856,0.6024735467552217,-0.190073981126312,-0.19015870124593662,0.7247773639440146,0.7309873002059918,1.0175772327995312,0.912875599107109,0.20266833323304764,0.16973983194073047,0.8191956344849771,0.7460099380462865,0.9920218693760627,-0.24716867671079976,0.21073872593613321,-0.2856263953441341,-0.2878748510758335,-0.11965095318920373,-0.07671166877448454,-0.023430317475690285,0.7442669467471918,-0.002169536429648945,-0.0162187616657923,-1.2717245228130056,0.19740024592671626,0.7420434876013472,1.9502208146085407,1.7050395941044771,2.7386718094409037,3.0332784877081487,-0.8846746347131662,-4.418000482088786,-4.372143881414575,-3.394043831398744,-1.9305452502551674,3.9383627324896118,-0.8132586024259721,-1.0987050758519585,-1.5787058747362916,-0.8101263014580187,-1.4047371389554444,-0.7465602348875803,-0.03638824706633674,0.9985064967421657,0.22401314183285592,-2.4601685667962516,-3.0526239086142724,-2.1466920920872594,1.1200273428948042,1.1215002428248557,-0.47382975661348836,-0.9577121746161811,-1.145232085988863,-1.74562199906108,-2.9102397898731875,-2.8564392633269553,0,1,0
AGO,1995,13,-0.36299065155699684,0.14893445807679054,-1.0047770389211061,-0.8230473317676475,-0.7757218585414675,-0.7595663544724202,0.0509019445014287,-0.5757877915242171,-0.5587793082190501,-0.24665835843569003,-0.26743565826021043,-0.30585134627829913,-0.30721868355305465,0.6981857117390623,0.6933245537704387,0.5874431964627195,0.610744480332563,0.5814276737401886,0.19578353542570875,0.5007827197318668,0.572672353268485,0.5012338502778079,-0.1709659630159495,0.6024735467552217,-0.1874520626453876,-0.18821469839097846,1.1733781738353144,1.109467199341838,1.0127988322662396,1.255676496487262,0.4791002612536006,0.4356717012141723,0.847915839782901,0.8628200054591766,0.997238122010489,-0.2441701842752155,0.2727973220976828,-0.28076402677911283,-0.2840243201558806,0.323820211230595,0.07726229869534854,0.054433816189327425,1.3032888768747133,0.1866908838678488,0.3122110634625805,1.216534440100458,1.4400681669641084,1.3088286960196356,3.3082350222442054,1.7761482770905777,2.310191930088577,2.721571218649233,1.4623931325408976,0.33903142018446075,-2.9254692878446398,-3.0145467103387156,-1.7471394554452366,1.7601454632738087,0.9527433532354991,-0.6235557593172569,-1.1110302793408429,-0.6758999367843189,-1.1993464811902743,-0.819673640287809,-0.7272342033517918,4.498692216460072,3.9607547957354634,2.6901894998380267,-2.0266956569708565,-1.8118318441396066,2.4202057382199738,1.383594873158701,0.810199153375762,-0.3682815486251106,-0.9088666594584173,-1.74562199906108,-2.8068048602808218,-2.9207693525192737,0,0,0
AGO,1996,14,3.4023025567592065,1.9418708551261021,1.8714456768642995,0.6850016102471734,0.005515677790869293,2.9130429362611863,0.7527830129065812,1.0243491138606526,1.7727437571788849,-0.250288903784011,-0.08938387329996576,-0.3056446231983706,-0.30552604263747174,0.9733344760473936,0.9865192303169685,0.9404575361073537,0.7505162010396382,0.6761543327299309,0.25086088872601925,0.5051147519197711,0.5943637694029025,0.609362633186376,-0.1695094348383358,0.6024735467552217,-0.18426763500921575,-0.18555937268158731,1.4860618573465834,1.5912515973685364,1.4525198038519356,1.4831902073608612,0.8519784771950231,0.30571661199106387,0.828815529392347,0.9322982146939724,1.0176355239224892,-0.2375291925857058,0.2727973220976828,-0.273212060898086,-0.2790855153639582,0.1197713693734347,0.2113853039431841,0.23327354824402033,0.28484348188638275,0.2849086294233357,-0.14274038711940756,0.9724362349978337,1.3545649391053483,1.3324002834586697,4.1556309037286,1.7998511714192778,4.159004065634524,2.296894004468952,0.4136079900892186,1.243366713943582,0.4742184292597236,-2.7383470175191413,-1.7419395481963627,-0.7932623947727275,0.8058062377926857,-0.27596221060381915,-0.878908858413597,-0.6520612453652049,-1.2335782574844691,-0.69926999152706,-0.7977547198197426,-3.0335554915997274,0.2832643309668772,0.7892505380016868,-1.7469460438011555,-2.3892158632639235,-5.203088065758124,-0.47636360687234186,-0.01708783858329133,-0.6414175907961139,-1.1358733360720585,-1.74562199906108,-2.3114109852177016,-2.8171050694867525,0,0,1
AGO,1997,15,-1.1947150558583128,1.2364410892530164,0.7222115859043264,-0.16872676185929666,-0.3785690526930487,-3.553467085434863,-0.4565261785581854,-0.07787967399080122,0.34473550294566113,-0.2585459081068463,-0.1656917811400706,-0.29933394690660886,-0.3053114155848876,0.8073043700042974,1.0522646853797466,1.0860855723985945,0.9109323847797635,0.7533788951031224,-0.15279427718049646,0.4378028232631369,0.49244412815888144,0.605086454277041,-0.16857649996723703,0.6024735467552217,-0.18032669238002347,-0.18233437059493138,0.2019782654264918,0.9619448324996398,1.1910798041141972,1.1348020006522432,0.971400361485447,-1.2210080861681607,0.5524169160498131,0.6476148000578252,0.7727716959133875,-0.23105137327475614,0.3348559182592327,-0.2629185747033008,-0.2714148329006913,-0.27090296113845547,-0.06892111574769201,0.07205239884671667,-0.04973042102457285,0.15429233804035036,-0.27386457781001255,-1.1334222110932617,-0.23068508650809275,0.4352983250905466,2.7232158178165933,1.7761482770905777,5.301621006656912,4.129298336857088,0.25119752103214776,0.437522388369189,1.1008948636261395,-1.9388117569716012,-1.8626786126086807,-0.1267800363200047,0.9497999268170287,0.8867487598516599,-0.7058417114357474,-0.6412069114419257,-1.3362735863670543,-0.6616665915285964,-0.6816210580274387,4.71638783828784,0.39653014361928746,2.876323098887961,2.3698894499742202,-1.390079597910796,5.356742910195549,0.9141690100568246,1.2912626191035235,0.0034036817140305365,-0.8797458409123197,-1.721475943191365,-2.756851450717147,-2.3206127232405867,1,0,0
AGO,1998,16,-0.06580499051697264,-0.8433605515122748,0.897191664386208,0.6458068929554571,-0.21740557769634672,0.874348324192951,-0.8074574328111405,-0.21218468257349932,0.2222112891113304,-0.2633576327391807,-0.1656917811400706,-0.3008486747683474,-0.2987594531587201,0.7091552465788064,0.8937753165134272,1.0910289583393766,1.0749235611055876,0.8192231070335648,-0.09068679393094646,0.4463355393319004,0.4215555335365248,0.557002773467912,-0.16759191094231135,0.627094689269276,-0.17660289073329313,-0.17834321436384956,0.5047111873194696,0.3865526328976151,0.881280038612075,1.1176987731228092,1.149560937477902,0.29620234290383224,0.8551210029436487,0.6246816877122601,0.6963529048214818,-0.22059176236842556,0.3348559182592327,-0.2594266483467433,-0.26095953354101203,0.23041116077106924,-0.035599989176100806,0.018524584200134715,0.14135552162452156,0.390352631760032,0.3528518732612005,0.47496116872910876,0.7401035564323525,0.9165495065796866,3.8011032372593396,1.7524453827618773,3.4009681867345884,5.261774802547981,-0.7355363815627649,-0.32147942535302937,-0.048940482377576276,0.1410819499481485,-2.1006369753645875,-0.7466048605200067,-1.2751119599052427,-0.04302178675850846,-0.6637692301708877,-0.688582456751579,-1.4047371389554444,-0.6376814095589005,-0.6453512224982855,4.4532271955273295,7.309711327475818,2.8504839755101274,5.529086289819785,-0.6632029843270407,-0.1802264506633231,1.2686156530387025,1.6065086006378146,0.8626961405223715,-0.7940076754590565,-1.5524535521033598,-2.2194147800422357,-2.7670408947649623,0,1,0
AGO,1999,17,0.09617975673971647,0.00954512443734105,-0.61921452733824,0.44885163028714525,-0.23210996496845362,0.12663248421561366,0.6046031053678539,-0.15737967173994502,0.2112300420426745,-0.2689054615684973,-0.1656917811400706,-0.29998487389304496,-0.30033209602251837,0.6674775616922037,0.8101022889245204,0.9541354261128878,1.1321109262957412,0.8777681031931363,-0.039018435756319934,0.45518161581102495,0.40042802618290535,0.5022443018085686,-0.16696617156603152,0.627094689269276,-0.1729695044531274,-0.17457196582154166,0.12152831618576171,0.33821606481991046,0.29495139123804565,0.9132611265077273,1.2005768789637825,-0.35962559031105285,0.6630678408597285,0.5740202427816727,0.5754971977207795,-0.21267750718135206,0.36588521634000754,-0.25370483397335725,-0.2574127142507448,-0.2097274236656552,-0.0038186413345511865,-0.1895987227180561,0.066645064209431,0.35719475430125003,-0.3086184600945913,-0.5028237788002953,-0.7800913817604117,0.22394938592601044,2.94354889714604,1.7761482770905777,5.100592901670899,3.377989860513863,-0.8018428726299276,-0.9860614289400732,-0.6520913858229185,0.1732532161116713,-2.1923735966244524,-0.05451758588005714,-1.2042811836364853,-1.4675440799753094,-0.6425551060710606,-0.7436132993632999,-1.4732006915438347,-0.7017399342027176,-0.6222166494220949,-2.1915774684830978,1.0255542336637702,3.6871437151877107,3.0536185488876275,-1.3204705663514975,-4.589874389611992,-0.1526083675901816,0.49359756198621063,0.5259053857933627,-0.7874316010444641,-1.6248917197125048,-1.5272574703013717,-2.2284125285016207,0,0,1
AGO,2000,18,-2.58692991910043,-1.6782568613815096,-1.3320685445902267,-0.4178281438269698,-0.6616818253284862,-2.0734569400582568,-2.585433763025122,-3.2692723245443203,-1.5893293576167107,-0.28212226012034597,-0.26743565826021043,-0.2987496700339955,-0.2994352680730226,0.7863703646292882,0.8562581327709311,0.944799877453798,1.1594607536344332,0.9598263675986334,0.10789500742497093,0.4826885779805741,0.45597340424351435,0.48375765812277094,-0.166373764706042,0.627094689269276,-0.16930246595255266,-0.1708922846750585,-0.9034330716412591,-0.4819902529717401,-0.17691280712820648,0.26547526060600085,0.9278820262812026,-0.9732523393430799,-1.2546615240494503,-0.13404835593185163,0.23118244682899858,-0.2096081909168319,0.36588521634000754,-0.25038237228397214,-0.25160095319892806,-0.3639754129447739,-0.19866577399055804,-0.2535876374956677,-0.26717761245571375,0.1635609374947445,-0.10775000859678813,-1.2925493505464485,-1.5310529243843436,-1.27459121804994,-3.2849058476934356,1.6339309111183764,3.7445683333646023,5.0625307780060425,0.2804524598999332,-0.3468691460765687,-0.6382632977544392,-0.24136586086379885,-2.10883757188045,0.8091384675835064,-0.2674432005836225,-0.7677041018120073,-0.49153109348424917,-0.7287954754989193,-1.4732006915438347,-0.7694487150376549,-0.6840034068207977,-1.767826636028618,-2.483663818382022,-0.24898389647240193,0.04613300862334331,-1.520218818040525,0.29442205070023336,-0.9863047674665284,-0.1721016068492098,0.29099745133055815,-7.107277561102795,-1.673183831451935,-1.9792207245408715,-1.5347204503731018,1,0,1
AGO,2001,19,-0.4993397517426711,-1.9905753152839538,-1.5082701109824421,-1.3580070585773152,-0.5253307699712705,1.6156882026115766,-1.7976067329396217,-2.5053791156235827,-1.7543230105695786,-0.2855866826688168,-0.2562374327910125,-0.30336890903649066,-0.2981528366981612,0.8569799876233155,0.9698848578450204,1.0108548200006455,1.123548412534181,1.0233524693362837,0.06371846969803029,0.47460951827843934,0.4865314104364718,0.4725452230475152,-0.16254433225496356,0.6641038280168162,-0.1651745228146652,-0.16717852252770507,-0.8684103901372668,-1.0100009595236947,-0.6972519422611179,-0.33916644300247656,0.5505332533137455,0.04023527604269965,-1.4725992943942297,-1.2151326669938034,-0.07358012165830884,-0.20919705180470055,0.36588521634000754,-0.254733737097485,-0.24822626255318883,-0.15209887585806756,-0.1836460025494331,-0.3855218883162191,-0.34014445770884205,-0.09055170279506597,0.14949128549309706,-0.9196919155722422,-1.1990938567223781,-1.410556828703062,0.8535918757037702,1.5172053371600605,1.6157322472306608,3.718540631026906,0.38670464896815243,0.43919365873980853,-0.08237665999330356,-0.2507471744536265,-1.9389374692433714,0.07523264227985531,1.094120024419988,-0.022850714400275703,-0.2850139021103307,-0.6885200547056709,-1.4389689152496397,-0.7443547178931089,-0.7493109679685396,8.905106212590178,4.020408107557845,1.4922230694020382,6.5008294420690325,2.031431909255963,7.3764974850233065,1.3697458290298397,1.5792535149725968,1.8788687990884065,-0.509508203225525,-1.1702169318261724,-2.2823216688454213,-1.9876858740692067,1,1,0
