countrycode,year,rgdpe_pct_change_1yr,rgdpe_pct_change_2yr,rgdpe_pct_change_3yr,rgdpe_pct_change_5yr,rgdpe_pct_change_10yr,emp_pct_change_1yr,emp_pct_change_2yr,emp_pct_change_3yr,emp_pct_change_5yr,emp_pct_change_10yr,hc_pct_change_1yr,hc_pct_change_2yr,hc_pct_change_3yr,hc_pct_change_5yr,hc_pct_change_10yr,recession,recession_last_year,recession_next_year
DNK,1971,0.025317999657394674,0.04522639443210186,0.12433390776286068,0.25516369418273777,0.5938877106069536,-0.001465262997033201,0.011856844204195083,0.03141401300575786,0.039314491437192345,0.12908359959998084,0.006543151438655359,0.013569581887045823,0.020645130176878412,0.0349446523992849,0.07157618773590646,0,0,0
DNK,1972,0.043423627317681346,0.06984102635662781,0.09061391584652534,0.2386712333182801,0.5731510511969966,0.020080219111082043,0.01858553331201307,0.03217515134486337,0.060124940637930724,0.13433838755336636,0.006543142230593935,0.013129106439748739,0.020201511821936302,0.03449481855906722,0.07111043419218999,0,0,0
DNK,1973,0.05642892595695104,0.1023029019253241,0.13021100641861438,0.23935652926004103,0.6282753717396208,0.012472488082680089,0.032803157487322654,0.03128982923743728,0.06524764930901705,0.1345439533739552,0.006543112755240221,0.013129067503222291,0.01975812441879965,0.03404524898780581,0.07064488629399901,0,0,1
DNK,1974,-0.04071580287917542,0.013415574051828694,0.0574217542573896,0.10524512759651938,0.4362622769140976,-0.008055372582822518,0.0043166449613167845,0.02448354324904667,0.03663068501111244,0.10275322588845626,0.0065431465409437894,0.013129071841775364,0.01975811945678574,0.03359581076373441,0.0701795810958512,1,0,1
DNK,1975,-0.0078090077143946335,-0.048206860574788735,0.005501804016170286,0.07572708201210077,0.360044679243426,-0.013121721254117813,-0.02107139348331044,-0.00886171810473646,0.009559115450239242,0.06872853773939269,0.006543071662417743,0.013129030480076631,0.01975804796211489,0.03314655991659987,0.0697143761676744,1,1,0
DNK,1976,0.06938525417610975,0.06103441647658858,0.017833548327307103,0.12196087399814015,0.40824455533599857,0.017017757936092393,0.0036727344059672706,-0.004412223420893091,0.028246199206684697,0.06867117560072145,0.006543140231907829,0.013129024129760358,0.01975807579952482,0.03314654841365283,0.06924949542548897,0,1,0
DNK,1977,0.02392169058079907,0.09496675733817983,0.08641615348312026,0.10099104984127605,0.36376594157928155,-0.00228733495796396,0.014691497665495046,0.0013769986742051543,0.005699587649910631,0.06616721565695283,0.006543097280583998,0.013129049915549862,0.01975802589242437,0.03314650227559324,0.06878470341652454,0,0,0
DNK,1978,0.037922461062839474,0.06275132102324621,0.13649059155844068,0.08170394806662373,0.3406168507627345,0.008434798522968023,0.00612817035547919,0.023250216011272196,0.001688908077816409,0.06704675466881005,0.006543191732296005,0.013129101752909822,0.019758147538706083,0.033146583340048386,0.06832031601076105,0,0,0
DNK,1979,0.032141971974479544,0.07128333571800405,0.09691024419941652,0.16385952088132028,0.28635006466089874,0.011379406976433915,0.019910188504559168,0.017577312276408907,0.021314603481938255,0.05872605701933442,0.006543089924148315,0.013129094348339532,0.01975809657045069,0.03314652522684258,0.06785592037957322,0,0,1
DNK,1980,-0.02198936213852265,0.009445828374363696,0.04772649849593624,0.14722568663538071,0.23410174029360675,-0.0057412773232282666,0.0055727973219801274,0.014054601267568412,0.028952582074775357,0.03878845859965008,0.006543121307457378,0.013129023462704836,0.019758120912775068,0.033146576184026166,0.06739183107414015,1,0,1
DNK,1981,-0.042836848551538576,-0.06388425571438838,-0.03379564969669124,0.02683494966324873,0.15206863757601474,-0.015694725940412435,-0.021345895489504718,-0.010209392145122287,-0.004143786683934336,0.023985366298606037,0.00535167105645229,0.011929808996829605,0.018550956734022073,0.03192361588550652,0.06612832197864726,1,1,0
DNK,1982,0.011377217830375708,-0.03194699487830055,-0.05323386297720667,0.01425478541462688,0.1166854410001883,0.004512524303726506,-0.011253024468932393,-0.016929695057959382,0.0026434200266709507,0.008358074080719202,0.0053515476554615304,0.010731858434608776,0.01734519959365821,0.03070202070395367,0.0648661875786758,0,1,0
DNK,1983,0.007805308483108675,0.01927132900832995,-0.024391042545325203,-0.015175607772716426,0.06528843322456579,0.0007320438585922684,0.0052478715280219745,-0.010529218317793188,-0.005015098195457091,-0.0033346601574940626,0.005351595187029323,0.010731782159167036,0.016140886183584557,0.029481823719702538,0.06360562878669263,0,0,0
DNK,1984,0.02561967783790564,0.03362495580977698,0.045384732086937385,-0.021398893457622026,0.1389542149943419,0.014466162229889834,0.01520879595369995,0.019789950318797933,-0.0019783793819543316,0.019294055727920645,0.005351570049001442,0.010731804672548195,0.016140784092143923,0.028263149560251888,0.06234649998698316,0,0,0
DNK,1985,0.0243504960184886,0.05059402571958116,0.05879423618083357,0.02496894214039025,0.17587069842694913,0.023258137401836354,0.038060755620546116,0.03882066162154385,0.02713078729748397,0.05686887571824317,0.005351631575554627,0.01073184125580906,0.016140868912851047,0.027045948867644,0.06108900565628095,0,0,0
DNK,1986,0.06919010563133488,0.09522541504151816,0.1232847373347683,0.14493192707798208,0.17565611770896616,0.024437869658667566,0.048264386390833414,0.06342874906417917,0.06900948651847316,0.06457973924323834,0.005351619360608906,0.010731890831314095,0.016140893345857776,0.027045896056266727,0.05983291473875285,0,0,0
DNK,1987,0.010528816164977028,0.08044741169893954,0.10675684209570102,0.14397149200333725,0.16027856014229536,0.007536651124568694,0.03215870048108127,0.056164789357371125,0.07222778413218967,0.07506213252991789,0.0053516126157120425,0.010731871770005785,0.016140936369389403,0.02704596241828594,0.05857834882036417,0,0,0
DNK,1988,0.00320016882445584,0.013762678978682441,0.08390502582232262,0.13874414457636042,0.12146301008479199,-0.004809878544219659,0.002690522203809609,0.02719414249340768,0.06628992772570586,0.06094237903333455,0.0053515323778512425,0.010731784321749815,0.016140836107108925,0.027045898253755585,0.057325084378116564,0,0,0
DNK,1989,0.01646406378146481,0.01971692038955819,0.030453332384656306,0.12857867864190053,0.1044283437390987,-0.003194681801282462,-0.00798919431405054,-0.0005127549597931935,0.047726883627536854,0.04565408236304891,0.005351612283720275,0.01073178398798147,0.0161408289542726,0.027045941399850948,0.056073494446884586,0,0,0
