,Best ARIMA Order,Best AIC
USA,"(1, 2, 1)",1587.5076
DNK,"(2, 2, 2)",1164.8023
NLD,"(4, 2, 1)",1288.6994
FDA,"(0, 2, 1)",1476.4036
